Tabel 1
SAMPLE,IPUMS sample identifier,SUBSAMP,,Subsample number,HHTYPE,,Household Type,REGION,,Census region and division,STATEFIP,,State (FIPS code),METRO,,Metropolitan status,CITY,,City,CITYERR,,Coverage error in CITY variable,HOMELAND,,"American Indian, Alaska Native, or Native Hawaiian homeland area",CNTRY,,Country,GQ,,Group quarters status,GQTYPE,,Group quarters type [general version],GQTYPED,,Group quarters type [detailed version],FARM,,Farm status,OWNERSHP,,Ownership of dwelling (tenure) [general version],OWNERSHPD,,Ownership of dwelling (tenure) [detailed version],MORTGAGE,,Mortgage status,MORTGAG2,,Second mortgage status,ACREHOUS,,House acreage,TAXINCL,,Mortgage payment includes property taxes,INSINCL,,Mortgage payment includes property insurance,PROPTX99,,"Annual property taxes, 1990",RENTMEAL,,Meals included in rent,UNITSSTR,,Units in structure,BEDROOMS,,Number of bedrooms,NFAMS,,Number of families in household,NSUBFAM,,Number of subfamilies in household,NCOUPLES,,Number of couples in household,NMOTHERS,,Number of mothers in household,NFATHERS,,Number of fathers in household,MULTGEN,,Multigenerational household [general version],MULTGEND,,Multigenerational household [detailed version],CBNSUBFAM,,Number of subfamilies in household (original Census Bureau classification),FAMUNIT,,Family unit membership,SFTYPE,,Subfamily type,SFRELATE,,Relationship within subfamily,CBSUBFAM,,Subfamily number (original Census Bureau classification),CBSFTYPE,,Subfamily type (original Census Bureau classification),CBSFRELATE,,Subfamily relationship (original Census Bureau classification),MOMRULE,,Rule for linking mother (new),POPRULE,,Rule for linking father (new),SPRULE,,Rule for linking spouse or partner (new),MOM2RULE,,Rule for linking second mother (new),POP2RULE,,Rule for linking second father (new),NCHILD,,Number of own children in the household,NCHLT5,,Number of own children under age 5 in household,NSIBS,,Number of own siblings in household,ELDCH,,Age of eldest own child in household,YNGCH,,Age of youngest own child in household,RELATE,,Relationship to household head [general version],RELATED,,Relationship to household head [detailed version],SEX,Sex,AGE,Age,MARST,Marital status,MARRNO,Times married,MARRINYR,Married within the past year,DIVINYR,Divorced in the past year,WIDINYR,Widowed in the past year,FERTYR,Children born within the last year,RACE,Race [general version],RACED,Race [detailed version],HISPAN,Hispanic origin [general version],HISPAND,Hispanic origin [detailed version],BPL,Birthplace [general version],BPLD,Birthplace [detailed version],ANCESTR1,"Ancestry, first response [general version]",ANCESTR2,"Ancestry, second response [general version]",ANCESTR2D,"Ancestry, second response [detailed version]",CITIZEN,Citizenship status,YRSUSA2,"Years in the United States, intervalled",LANGUAGE,Language spoken [general version],LANGUAGED,Language spoken [detailed version],SPEAKENG,Speaks English,TRIBE,Tribe [general version],TRIBED,Tribe [detailed version],EDUC,Educational attainment [general version],EDUCD,Educational attainment [detailed version],GRADEATT,Grade level attending [general version],GRADEATTD,Grade level attending [detailed version],SCHLTYPE,Public or private school,DEGFIELD,Field of degree [general version],DEGFIELDD,Field of degree [detailed version],EMPSTAT,Employment status [general version],EMPSTATD,Employment status [detailed version],LABFORCE,Labor force status,CLASSWKR,Class of worker [general version],CLASSWKRD,Class of worker [detailed version],OCC1950,"Occupation, 1950 basis",OCC1990,"Occupation, 1990 basis",IND1950,"Industry, 1950 basis",WRKLSTWK,Worked last week,ABSENT,Absent from work last week,LOOKING,Looking for work,AVAILBLE,Available for work,WRKRECAL,Informed of work recall,WORKEDYR,Worked last year,MIGRATE1,"Migration status, 1 year [general version]",MIGRATE1D,"Migration status, 1 year [detailed version]",MIGPLAC1,State or country of residence 1 year ago,MIGMET131,Metropolitan area of residence 1 year ago (2013 delineations),MIGTYPE1,Metropolitan status 1 year ago,PWSTATE2,Place of work: state,PWMET13,Place of work: metropolitan area (2013 delineations),PWTYPE,Place of work: metropolitan status,TRANWORK,Means of transportation to work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201702,2017 PRCS,10,,10,9,,HHTYPE could not be determined,32,,East South Central Div.,13,,Georgia,,,,50,,"Albany, NY",,,,,,,,,,,,,8,,Rooming house,213,,Military prison,,,,,,,,,,,,,,,,,,,,,,,,,10,,$ 400 - 449,,,,10,,50+ family building,10,,9,10,,10,,,,,,,,,,,,,,,,,,,,,,11,,11th,8,,Mother-child unrelated subfamily,,,,,,,,,,,,,22,,"Second level link, clarity level 2",22,,"Second level link, clarity level 2",32,,"Third level link, clarity level 2",22,,"Second level link, clarity level 2",22,,"Second level link, clarity level 2",,,,,,,,,,10,,10,10,,10,10,,Other relatives,501,,Parent,,,10,10,,,,,,,,,,,,,,,,American Indian:,,,,Other:,12,Florida,1200,Florida,10,Walloon,10,Walloon,60,French Basque,,,,,10,Italian,210,Austrian,,,2002,Algonquian,100520,Yup'ik,10,4 years of college,17,Grade 4,,,42,Grade 6,,,24,Engineering,1301,Environmental Science,,,21,"Unemp, exper worker",,,,,24,"Wage/salary, government",9,Clergymen,17,Managers of food-serving and lodging establishments,239,"Mining, not specified",,,,,,,,,,,,,,,31,Moved between contigious states,12,Florida,11500,"Anniston-Oxford-Jacksonville, AL",,,12,Florida,11500,"Anniston-Oxford-Jacksonville, AL",8,Not in metropolitan area; or abroad,,"Bus, light rail, streetcar, trolley (Carro público in PR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201701,2017 ACS,11,,11,,,,33,,West South Central Div.,15,,Hawaii,,,,51,,"Albany, GA",,,,,,,,,,,,,9,,Other non-institutional GQ and unknown,220,,Local correctional,,,,,,,,,,,,,,,,,,,,,,,,,11,,$ 450 - 499,,,,,,,11,,10,11,,11,,,,,,,,,,,,,,,,,,,,,,12,,12th,,,,,,,,,,,,,,,,23,,"Second level link, clarity level 3",23,,"Second level link, clarity level 3",33,,"Third level link, clarity level 3",23,,"Second level link, clarity level 3",23,,"Second level link, clarity level 3",,,,,,,,,,11,,11,11,,11,,,NON-RELATIVES,502,,Stepparent,,,11,11,,,,,,,,,,,,,,,302,Apache,,,,Central American,13,Georgia,1300,Georgia,11,British,11,British,80,Belgian,,,,,11,French,220,Swiss,,,2003,Apache,,Tlingit-Haida,11,5+ years of college,20,"Grade 5, 6, 7, or 8",,,43,Grade 7,,,25,Engineering Technologies,1302,Forestry,,,22,"Unemp, new worker",,,,,25,Federal govt employee,10,College presidents and deans,18,Managers of properties and real estate,,Construction:,,,,,,,,,,,,,,,32,Moved between non-contiguous states,13,Georgia,11700,"Asheville, NC",,,13,Georgia,11700,"Asheville, NC",9,Metropolitan status indeterminable (mixed),31,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201604,"2012-2016, PRCS 5-year",12,,12,,,,34,,Mixed Southern Divisions (1970 Metro),16,,Idaho,,,,52,,"Albert Lea, MN",,,,,,,,,,,,,,,,221,,Jail,,,,,,,,,,,,,,,,,,,,,,,,,12,,$ 500 - 549,,,,,,,12,,11,12,,12,,,,,,,,,,,,,,,,,,,,,,13,,13th,,,,,,,,,,,,,,,,24,,"Second level link, clarity level 4",24,,"Second level link, clarity level 4",34,,"Third level link, clarity level 4",24,,"Second level link, clarity level 4",24,,"Second level link, clarity level 4",,,,,,,,,,12,,12,12,,12,11,,"Partner, friend, visitor",601,,Parent-in-Law,,,12,12,,,,,,,,,,,,,,,303,Blackfoot,,,401,Central American Indian,15,Hawaii,1500,Hawaii,12,British Isles,12,British Isles,90,Flemish,,,,,12,Spanish,230,Luxembourgian,,,2004,Arapaho,100601,Haida,,,21,Grade 5 or 6,,,44,Grade 8,,,26,Linguistics and Foreign Languages,1303,Natural Resources Management,,,30,Not in Labor Force,,,,,26,Armed forces,,Professors and instructors:,19,Funeral directors,246,Construction,,,,,,,,,,,,,,,40,Abroad one year ago,15,Hawaii,12020,"Athens-Clarke County, GA",,,15,Hawaii,12020,"Athens-Clarke County, GA",,,32,Bus or trolley bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201603,"2012-2016, ACS 5-year",13,,13,,,,,,WEST REGION,17,,Illinois,,,,70,,"Albuquerque, NM",,,,,,,,,,,,,,,,230,,School juvenile delinquents,,,,,,,,,,,,,,,,,,,,,,,,,13,,$ 550 - 599,,,,,,,13,,12,13,,13,,,,,,,,,,,,,,,,,,,,,,14,,14th,,,,,,,,,,,,,,,,25,,"Second level link, clarity level 5",25,,"Second level link, clarity level 5",41,,"Fourth level link, clarity level 1",25,,"Second level link, clarity level 5",25,,"Second level link, clarity level 5",,,,,,,,,,13,,13,13,,13,12,,Other non-relatives,602,,Stepparent-in-law,,,13,13,,,,,,,,,,,,,,,304,Cherokee,,,402,Canal Zone,16,Idaho,1600,Idaho,13,Channel Islander,13,Channel Islander,100,Walloon,,,,,13,Portuguese,240,Pennsylvania Dutch,,,2005,Arikara,100602,Tlingit,,,22,Grade 5,,,50,Grade 9 to grade 12,,,29,Family and Consumer Sciences,1401,Architecture,,,31,"NILF, housework",,,,,27,State govt employee,12,Agricultural sciences-Professors and instructors,21,"Managers of service organizations, n.e.c.",,Manufacturing:,,,,,,,,,,,,,,,90,Unknown,16,Idaho,12060,"Atlanta-Sandy Springs-Roswell, GA",,,16,Idaho,12060,"Atlanta-Sandy Springs-Roswell, GA",,,33,Bus or streetcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201602,2016 PRCS,14,,14,,,,41,,Mountain Division,18,,Indiana,,,,90,,"Alexandria, VA",,,,,,,,,,,,,,,,240,,Reformatory,,,,,,,,,,,,,,,,,,,,,,,,,14,,$ 600 - 649,,,,,,,14,,13,14,,14,,,,,,,,,,,,,,,,,,,,,,15,,15th,,,,,,,,,,,,,,,,26,,"Second level link, clarity level 6",26,,"Second level link, clarity level 6",42,,"Fourth level link, clarity level 2",26,,"Second level link, clarity level 6",26,,"Second level link, clarity level 6",,,,,,,,,,14,,14,14,,14,13,,Institutional inmates,701,,Sibling,,,14,14,,,,,,,,,,,,,,,305,Cheyenne,,,411,Costa Rican,17,Illinois,1610,Idaho Territory,14,Gibraltan,14,Gibraltan,110,British,,,,,14,Rumanian,300,"Yiddish, Jewish",,,2006,Assiniboine,100603,Tlingit-Haida,,,23,Grade 6,,,51,Grade 9,,,32,Law,1501,"Area, Ethnic, and Civilization Studies",,,32,"NILF, unable to work",,,,,28,Local govt employee,13,Biological sciences-Professors and instructors,22,"Managers and administrators, n.e.c.",,Durable Goods:,,,,,,,,,,,,,,,,,17,Illinois,12100,"Atlantic City-Hammonton, NJ",,,17,Illinois,12100,"Atlantic City-Hammonton, NJ",,,34,"Light rail, streetcar, or trolley (Carro público in PR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201601,2016 ACS,15,,15,,,,42,,Pacific Division,19,,Iowa,,,,91,,"Alexandria, LA",,,,,,,,,,,,,,,,250,,Camp or chain gang,,,,,,,,,,,,,,,,,,,,,,,,,15,,$ 650 - 699,,,,,,,15,,14,15,,15,,,,,,,,,,,,,,,,,,,,,,16,,16th,,,,,,,,,,,,,,,,27,,"Second level link, clarity level 7",27,,"Second level link, clarity level 7",43,,"Fourth level link, clarity level 3",27,,"Second level link, clarity level 7",27,,"Second level link, clarity level 7",,,,,,,,,,15,,15,15,,15,,,,702,,Step/Half/Adopted Sibling,,,15,15,,,,,,,,,,,,,,,306,Chickasaw,,,412,Guatemalan,18,Indiana,1700,Illinois,15,Cornish,15,Cornish,120,British Isles,,,,,15,Celtic,310,Jewish,,,2007,Bannock,100700,Tsimshian,,,24,Grade 7 or 8,,,52,Grade 10,,,33,"English Language, Literature, and Composition",1900,Communications,,,33,"NILF, school",,,,,29,Unpaid family worker,14,Chemistry-Professors and instructors,,Management Related Occupations:,306,Logging,,,,,,,,,,,,,,,,,18,Indiana,12220,"Auburn-Opelika, AL",,,18,Indiana,12220,"Auburn-Opelika, AL",,,35,"Streetcar or trolley car (publico in Puerto Rico, 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201504,"2011-2015, PRCS 5-year",16,,16,,,,43,,Mixed Western Divisions (1970 Metro),20,,Kansas,,,,100,,"Alhambra, CA",,,,,,,,,,,,,,,,260,,House of correction,,,,,,,,,,,,,,,,,,,,,,,,,16,,$ 700 - 749,,,,,,,16,,15,16,,16,,,,,,,,,,,,,,,,,,,,,,17,,17th,,,,,,,,,,,,,,,,28,,"Second level link, clarity level 8",28,,"Second level link, clarity level 8",44,,"Fourth level link, clarity level 4",28,,"Second level link, clarity level 8",28,,"Second level link, clarity level 8",,,,,,,,,,16,,16,16,,16,,,,801,,Sibling-in-Law,,,16,16,,,,,,,,,,,,,,,307,Chippewa,,,413,Honduran,19,Iowa,1800,Indiana,16,Corsican,16,Corsican,130,Channel Islander,,,,,16,Greek,320,Yiddish,,,2008,Blackfoot,100800,"Alaska Native, other or unknown",,,25,Grade 7,,,53,Grade 11,,,34,Liberal Arts and Humanities,1901,Communications,,,34,"NILF, other",,,,,,,15,Economics-Professors and instructors,23,Accountants and auditors,307,"Sawmills, planing mills, and mill work",,,,,,,,,,,,,,,,,19,Iowa,12260,"Augusta-Richmond County, GA-SC",,,19,Iowa,12260,"Augusta-Richmond County, GA-SC",,,36,Subway or elevated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201503,"2011-2015, ACS 5-year",17,,17,,,,,,STATE UNKNOWN,21,,Kentucky,,,,110,,"Allegheny, PA",,,,,,,,,,,,,,,,300,,Mental institutions,,,,,,,,,,,,,,,,,,,,,,,,,17,,$ 750 - 799,,,,,,,17,,16,17,,17,,,,,,,,,,,,,,,,,,,,,,18,,18th,,,,,,,,,,,,,,,,31,,"Third level link, clarity level 1",31,,"Third level link, clarity level 1",51,,"Fifth level link, clarity level 1",31,,"Third level link, clarity level 1",31,,"Third level link, clarity level 1",,,,,,,,,,17,,17,17,,17,,,,802,,Step/Half Sibling-in-law,,,17,17,,,,,,,,,,,,,,,308,Choctaw,,,414,Nicaraguan,20,Kansas,1900,Iowa,17,Cypriot,17,Cypriot,140,Gibraltan,,,,,17,Albanian,400,Dutch,,,2009,Brotherton,100801,"Alaska Native, tribe not reported",,,26,Grade 8,,,54,Grade 12,,,35,Library Science,1902,Journalism,,,,,,,,,,,16,Engineering-Professors and instructors,24,Insurance underwriters,308,Misc wood products,,,,,,,,,,,,,,,,,20,Kansas,12420,"Austin-Round Rock, TX",,,20,Kansas,12420,"Austin-Round Rock, TX",,,37,Long-distance train or commuter train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201502,2015 PRCS,18,,18,,,,91,,Military/Military reservations,22,,Louisiana,,,,120,,"Aliquippa, PA",,,,,,,,,,,,,,,,400,,"Institutions for the elderly, handicapped, and poor",,,,,,,,,,,,,,,,,,,,,,,,,18,,$ 800 - 849,,,,,,,18,,17,18,,18,,,,,,,,,,,,,,,,,,,,,,19,,19th,,,,,,,,,,,,,,,,32,,"Third level link, clarity level 2",32,,"Third level link, clarity level 2",52,,"Fifth level link, clarity level 2",32,,"Third level link, clarity level 2",32,,"Third level link, clarity level 2",,,,,,,,,,18,,18,18,,18,,,,901,,Grandchild,,,18,18,,,,,,,,,,,,,,,309,Comanche,,,415,Panamanian,21,Kentucky,2000,Kansas,18,Greek Cypriote,18,Greek Cypriote,150,Cornish,,,,,18,Russian,410,"Dutch, Flemish, Belgian",,,2010,Caddo,,American Indian,,,30,Grade 9,,,60,College undergraduate,,,36,Biology and Life Sciences,1903,Mass Media,,,,,,,,,,,17,Geology and geophysics-Professors and instructors,25,Other financial specialists,309,Furniture and fixtures,,,,,,,,,,,,,,,,,21,Kentucky,12540,"Bakersfield, CA",,,21,Kentucky,12540,"Bakersfield, CA",,,38,Taxicab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201501,2015 ACS,19,,19,,,,92,,PUMA boundaries cross state lines-1% sample,23,,Maine,,,,130,,"Allentown, PA",,,,,,,,,,,,,,,,410,,Homes for elderly,,,,,,,,,,,,,,,,,,,,,,,,,19,,$ 850 - 899,,,,,,,19,,18,19,,19,,,,,,,,,,,,,,,,,,,,,,20,,20th,,,,,,,,,,,,,,,,33,,"Third level link, clarity level 3",33,,"Third level link, clarity level 3",53,,"Fifth level link, clarity level 3",33,,"Third level link, clarity level 3",33,,"Third level link, clarity level 3",,,,,,,,,,19,,19,19,,19,,,,902,,Adopted Grandchild,,,19,19,,,,,,,,,,,,,,,310,Creek,,,416,Salvadoran,22,Louisiana,2100,Kentucky,19,Turkish Cypriote,19,Turkish Cypriote,160,Corsican,,,,,19,"Ukrainian, Ruthenian, Little Russian",420,Afrikaans,,,2011,Cahuilla,200100,Abenaki,,,40,Grade 10,,,61,First year of college,,,37,Mathematics and Statistics,1904,Advertising and Public Relations,,,,,,,,,,,18,Mathematics-Professors and instructors,26,Management analysts,316,Glass and glass products,,,,,,,,,,,,,,,,,22,Louisiana,12580,"Baltimore-Columbia-Towson, MD",,,22,Louisiana,12580,"Baltimore-Columbia-Towson, MD",,,39,Ferryboat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201404,"2010-2014, PRCS 5-year",20,,20,,,,97,,State not identified,24,,Maryland,,,,131,,"Alliance, OH",,,,,,,,,,,,,,,,411,,"Aged, dependent home",,,,,,,,,,,,,,,,,,,,,,,,,20,,$ 900 - 949,,,,,,,20,,19,20,,20,,,,,,,,,,,,,,,,,,,,,,21,,21th,,,,,,,,,,,,,,,,34,,"Third level link, clarity level 4",34,,"Third level link, clarity level 4",54,,"Fifth level link, clarity level 4",34,,"Third level link, clarity level 4",34,,"Third level link, clarity level 4",,,,,,,,,,20,,20,20,,20,,,,903,,Step Grandchild,,,20,20,,,,,,,,,,,,,,,311,Crow,,,417,"Central American, n.e.c.",23,Maine,2200,Louisiana,20,Danish,20,Danish,170,Cypriot,,,,,20,Czech,430,Frisian,,,2012,California tribes,200200,Algonquian,,,50,Grade 11,,,62,Second year of college,,,38,Military Technologies,2001,Communication Technologies,,,,,,,,,,,19,Medical Sciences-Professors and instructors,27,"Personnel, HR, training, and labor relations specialists",317,"Cement, concrete, gypsum and plaster products",,,,,,,,,,,,,,,,,23,Maine,12620,"Bangor, ME",,,23,Maine,12620,"Bangor, ME",,,50,Bicycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201403,"2010-2014, ACS 5-year",21,,21,,,,99,,Not identified,25,,Massachusetts,,,,132,,"Alpena, MI",,,,,,,,,,,,,,,,412,,Nursing/convalescent home,,,,,,,,,,,,,,,,,,,,,,,,,21,,$ 950 - 999,,,,,,,21,,20,21,,21,,,,,,,,,,,,,,,,,,,,,,22,,22th,,,,,,,,,,,,,,,,35,,"Third level link, clarity level 5",35,,"Third level link, clarity level 5",,,,35,,"Third level link, clarity level 5",35,,"Third level link, clarity level 5",,,,,,,,,,21,,21,21,,21,,,,904,,Grandchild-in-law,,,21,21,,,,,,,,,,,,,,,312,Iroquois,,,,South American,24,Maryland,2300,Maine,21,Dutch,21,Dutch,180,Greek Cypriote,,,,,21,Polish,440,"Dutch, Afrikaans, Frisian",,,2013,Canadian Indian,200300,Apache,,,60,Grade 12,,,63,Third year of college,,,40,Interdisciplinary and Multi-Disciplinary Studies (General),2100,Computer and Information Systems,,,,,,,,,,,23,Physics-Professors and instructors,28,"Purchasing agents and buyers, of farm products",318,Structural clay products,,,,,,,,,,,,,,,,,24,Maryland,12700,"Barnstable Town, MA",,,24,Maryland,12700,"Barnstable Town, MA",,,60,Walked only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,2014 PRCS,22,,22,,,,,,,26,,Michigan,,,,140,,"Alton, IL",,,,,,,,,,,,,,,,413,,Old soldiers' home,,,,,,,,,,,,,,,,,,,,,,,,,22,,"$ 1,000 - 1,099",,,,,,,22,,21,22,,22,,,,,,,,,,,,,,,,,,,,,,23,,23th,,,,,,,,,,,,,,,,36,,"Third level link, clarity level 6",36,,"Third level link, clarity level 6",,,,36,,"Third level link, clarity level 6",36,,"Third level link, clarity level 6",,,,,,,,,,22,,22,22,,22,,,,1000,,Other relatives:,,,22,22,,,,,,,,,,,,,,,313,Kiowa,,,420,Argentinean,25,Massachusetts,2400,Maryland,22,English,22,English,190,Turkish Cypriote,,,,,22,Slovak,450,"Belgian, Flemish",,,2014,Catawba,200301,Apache - Jicarilla,,,61,"12th grade, no diploma",,,64,Fourth year of college,,,41,"Physical Fitness, Parks, Recreation, and Leisure",2101,Computer Programming and Data Processing,,,,,,,,,,,24,Psychology-Professors and instructors,29,"Buyers, wholesale and retail trade",319,Pottery and related prods,,,,,,,,,,,,,,,,,25,Massachusetts,12940,"Baton Rouge, LA",,,25,Massachusetts,12940,"Baton Rouge, LA",,,70,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201401,2014 ACS,23,,23,,,,,,,27,,Minnesota,,,,150,,"Altoona, PA",,,,,,,,,,,,,,,,420,,Other Instits (Not Aged),,,,,,,,,,,,,,,,,,,,,,,,,23,,"$ 1,100 - 1,199",,,,,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,24,,24th,,,,,,,,,,,,,,,,37,,"Third level link, clarity level 7",37,,"Third level link, clarity level 7",,,,37,,"Third level link, clarity level 7",37,,"Third level link, clarity level 7",,,,,,,,,,23,,23,23,,23,,,,1001,,Other Relatives,,,23,23,,,,,,,,,,,,,,,314,Lumbee,,,421,Bolivian,26,Michigan,2500,Massachusetts,23,Faeroe Islander,23,Faeroe Islander,200,Danish,,,,,23,"Serbo-Croatian, Yugoslavian, Slavonian",460,Belgian,,,2015,Cayuse,200302,Apache - Lipan,,,62,High school graduate or GED,,,70,Graduate or professional school,,,48,Philosophy and Religious Studies,2102,Computer Science,,,,,,,,,,,25,Statistics-Professors and instructors,33,"Purchasing managers, agents and buyers, n.e.c.",326,Misc nonmetallic mineral and stone products,,,,,,,,,,,,,,,,,26,Michigan,12980,"Battle Creek, MI",,,26,Michigan,12980,"Battle Creek, MI",,,80,Worked at home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201306,"2009-2013, PRCS 5-year",24,,24,,,,,,,28,,Mississippi,,,,160,,"Amarillo, TX",,,,,,,,,,,,,,,,421,,Other Institution nec,,,,,,,,,,,,,,,,,,,,,,,,,24,,"$ 1,200 - 1,299",,,,,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,25,,25th,,,,,,,,,,,,,,,,38,,"Third level link, clarity level 8",38,,"Third level link, clarity level 8",,,,38,,"Third level link, clarity level 8",38,,"Third level link, clarity level 8",,,,,,,,,,24,,24,24,,24,,,,1011,,Grandparent,,,24,24,,,,,,,,,,,,,,,315,Navajo,,,422,Chilean,27,Minnesota,2600,Michigan,24,Finnish,24,Finnish,210,Dutch,,,,,24,Slovene,470,Flemish,,,2016,Chehalis,200303,Apache - Mescalero,,,63,Regular high school diploma,,,71,Fifth year of college,,,49,Theology and Religious Vocations,2105,Information Sciences,,,,,,,,,,,26,Natural science (nec)-Professors and instructors,34,Business and promotion agents,336,"Blast furnaces, steel works, and rolling mills",,,,,,,,,,,,,,,,,27,Minnesota,13140,"Beaumont-Port Arthur, TX",,,27,Minnesota,13140,"Beaumont-Port Arthur, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201305,"2009-2013, ACS 5-year",25,,25,,,,,,,29,,Missouri,,,,161,,"Ambridge, PA",,,,,,,,,,,,,,,,430,,Homes neglected/depend children,,,,,,,,,,,,,,,,,,,,,,,,,25,,"$ 1,300 - 1,399",,,,,,,,,,25,,25,,,,,,,,,,,,,,,,,,,,,,26,,26th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,25,,25,,,,1012,,Step Grandparent,,,25,25,,,,,,,,,,,,,,,316,Osage,,,423,Colombian,28,Mississippi,2700,Minnesota,25,Karelian,25,Karelian,211,Dutch-French-Irish,,,,,25,Lithuanian,500,Swedish,,,2017,Chemakuan,200304,Apache - Payson,,,64,GED or alternative credential,,,72,Sixth year of college,,,50,Physical Sciences,2106,Computer Information Management and Security,,,,,,,,,,,27,Social sciences (nec)-Professors and instructors,35,Construction inspectors,337,Other primary iron and steel industries,,,,,,,,,,,,,,,,,28,Mississippi,13380,"Bellingham, WA",,,28,Mississippi,13380,"Bellingham, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201304,"2011-2013, PRCS 3-year",26,,26,,,,,,,30,,Montana,,,,162,,"Ames, IA",,,,,,,,,,,,,,,,431,,Orphan school,,,,,,,,,,,,,,,,,,,,,,,,,26,,"$ 1,400 - 1,499",,,,,,,,,,26,,26,,,,,,,,,,,,,,,,,,,,,,27,,27th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,26,26,,26,,,,1013,,Grandparent-in-law,,,26,26,,,,,,,,,,,,,,,317,Paiute,,,424,Ecuadorian,29,Missouri,2800,Mississippi,,French:,,French:,212,Dutch-German-Irish,,,,,26,Other Balto-Slavic,600,Danish,,,2018,Chemehuevi,200305,Apache - White Mountain,,,65,"Some college, but less than 1 year",,,73,Seventh year of college,,,51,"Nuclear, Industrial Radiology, and Biological Technologies",2107,Computer Networking and Telecommunications,,,,,,,,,,,28,Non-scientific subjects-Professors and instructors,36,"Inspectors and compliance officers, outside construction",338,Primary nonferrous industries,,,,,,,,,,,,,,,,,29,Missouri,13460,"Bend-Redmond, OR",,,29,Missouri,13460,"Bend-Redmond, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
