RECTYPE,,Record type
371,,Scientific and controlling instruments
372,,"Medical, dental, and optical instruments and supplies"
380,,Photographic equipment and supplies
381,,"Watches, clocks, and clockwork operated devices"
390,,"Toys, amusement, and sporting goods"
391,,Miscellaneous manufacturing industries
392,,"Manufacturing industries, n.s."
,,"TRANSPORTATION, COMMUNICATIONS, AND OTHER PUBLIC UTILITIES"
,,Transportation:
400,,Railroads
401,,Bus service and urban transit
402,,Taxicab service
410,,Trucking service
411,,Warehousing and storage
412,,U.S. Postal Service
420,,Water transportation
421,,Air transportation
422,,"Pipe lines, except natural gas"
432,,Services incidental to transportation
,,Communications:
440,,Radio and television broadcasting and cable
441,,Telephone communications
442,,Telegraph and miscellaneous communications services
,,Utilities and sanitary services:
450,,Electric light and power
451,,Gas and steam supply systems
452,,"Electric and gas, and other combinations"
470,,Water supply and irrigation
471,,Sanitary services
472,,"Utilities, n.s."
,,WHOLESALE TRADE
,,Durable Goods:
500,,Motor vehicles and equipment
501,,Furniture and home furnishings
502,,Lumber and construction materials
510,,Professional and commercial equipment and supplies
511,,"Metals and minerals, except petroleum"
512,,Electrical goods
521,,"Hardware, plumbing and heating supplies"
530,,"Machinery, equipment, and supplies"
531,,Scrap and waste materials
532,,"Miscellaneous wholesale, durable goods"
,,Nondurable Goods:
540,,Paper and paper products
541,,"Drugs, chemicals, and allied products"
542,,"Apparel, fabrics, and notions"
550,,Groceries and related products
551,,Farm-product raw materials
552,,Petroleum products
560,,Alcoholic beverages
561,,Farm supplies
562,,"Miscellaneous wholesale, nondurable goods"
571,,"Wholesale trade, n.s."
,,RETAIL TRADE
580,,Lumber and building material retailing
581,,Hardware stores
582,,Retail nurseries and garden stores
590,,Mobile home dealers
591,,Department stores
592,,Variety stores
600,,Miscellaneous general merchandise stores
601,,Grocery stores
602,,Dairy products stores
610,,Retail bakeries
611,,"Food stores, n.e.c."
612,,Motor vehicle dealers
620,,Auto and home supply stores
621,,Gasoline service stations
622,,Miscellaneous vehicle dealers
623,,"Apparel and accessory stores, except shoe"
630,,Shoe stores
631,,Furniture and home furnishings stores
632,,Household appliance stores
633,,"Radio, TV, and computer stores"
640,,Music stores
641,,Eating and drinking places
642,,Drug stores
650,,Liquor stores
651,,"Sporting goods, bicycles, and hobby stores"
652,,Book and stationery stores
660,,Jewelry stores
661,,"Gift, novelty, and souvenir shops"
662,,"Sewing, needlework, and piece goods stores"
663,,Catalog and mail order houses
670,,Vending machine operators
671,,Direct selling establishments
672,,Fuel dealers
681,,Retail florists
682,,Miscellaneous retail stores
691,,"Retail trade, n.s."
,,"FINANCE, INSURANCE, AND REAL ESTATE"
700,,Banking
701,,"Savings institutions, including credit unions"
702,,"Credit agencies, n.e.c."
710,,"Security, commodity brokerage, and investment companies"
711,,Insurance
712,,"Real estate, including real estate-insurance offices"
,,BUSINESS AND REPAIR SERVICES
721,,Advertising
722,,Services to dwellings and other buildings
731,,Personnel supply services
732,,Computer and data processing services
740,,Detective and protective services
741,,"Business services, n.e.c."
742,,"Automotive rental and leasing, without drivers"
750,,Automobile parking and carwashes
751,,Automotive repair and related services
752,,Electrical repair shops
760,,Miscellaneous repair services
,,PERSONAL SERVICES
761,,Private households
762,,Hotels and motels
770,,"Lodging places, except hotels and motels"
771,,"Laundry, cleaning, and garment services"
772,,Beauty shops
780,,Barber shops
781,,Funeral service and crematories
782,,Shoe repair shops
790,,Dressmaking shops
791,,Miscellaneous personal services
,,ENTERTAINMENT AND RECREATION SERVICES
800,,Theaters and motion pictures
801,,Video tape rental
802,,Bowling centers
810,,Miscellaneous entertainment and recreation services
,,PROFESSIONAL AND RELATED SERVICES
812,,Offices and clinics of physicians
820,,Offices and clinics of dentists
821,,Offices and clinics of chiropractors
822,,Offices and clinics of optometrists
830,,"Offices and clinics of health practitioners, n.e.c."
831,,Hospitals
832,,Nursing and personal care facilities
840,,"Health services, n.e.c."
841,,Legal services
842,,Elementary and secondary schools
850,,Colleges and universities
851,,Vocational schools
852,,Libraries
860,,"Educational services, n.e.c."
861,,Job training and vocational rehabilitation services
862,,Child day care services
863,,Family child care homes
870,,"Residential care facilities, without nursing"
871,,"Social services, n.e.c."
872,,"Museums, art galleries, and zoos"
873,,Labor unions
880,,Religious organizations
881,,"Membership organizations, n.e.c."
882,,"Engineering, architectural, and surveying services"
890,,"Accounting, auditing, and bookkeeping services"
891,,"Research, development, and testing services"
892,,Management and public relations services
893,,Miscellaneous professional and related services
,,PUBLIC ADMINISTRATION
900,,Executive and legislative offices
901,,"General government, n.e.c."
910,,"Justice, public order, and safety"
921,,"Public finance, taxation, and monetary policy"
922,,Administration of human resources programs
930,,Administration of environmental quality and housing programs
931,,Administration of economic programs
932,,National security and international affairs
,,ACTIVE DUTY MILITARY
,,Armed Forces:
940,,Army
941,,Air Force
942,,Navy
950,,Marines
951,,Coast Guard
952,,"Armed Forces, branch not specified"
960,,Military Reserves or National Guard
,,EXPERIENCED UNEMPLOYED NOT CLASSIFIED BY INDUSTRY
992,,Last worked 1984 or earlier
999,,DID NOT RESPOND
,,
UHRSWORK,,Usual hours worked per week
0,,N/A
1,,1
2,,2
3,,3
4,,4
5,,5
6,,6
7,,7
8,,8
9,,9
10,,10
11,,11
12,,12
13,,13
14,,14
15,,15
16,,16
17,,17
18,,18
19,,19
20,,20
21,,21
22,,22
23,,23
24,,24
25,,25
26,,26
27,,27
28,,28
29,,29
30,,30
31,,31
32,,32
33,,33
34,,34
35,,35
36,,36
37,,37
38,,38
39,,39
40,,40
41,,41
42,,42
43,,43
44,,44
45,,45
46,,46
47,,47
48,,48
49,,49
50,,50
51,,51
52,,52
53,,53
54,,54
55,,55
56,,56
57,,57
58,,58
59,,59
60,,60
61,,61
62,,62
63,,63
64,,64
65,,65
66,,66
67,,67
68,,68
69,,69
70,,70
71,,71
72,,72
73,,73
74,,74
75,,75
76,,76
77,,77
78,,78
79,,79
80,,80
81,,81
82,,82
83,,83
84,,84
85,,85
86,,86
87,,87
88,,88
89,,89
90,,90
91,,91
92,,92
93,,93
94,,94
95,,95
96,,96
97,,97
98,,98
99,,99 (Topcode)
,,
WRKLSTWK,,Worked last week
0,,N/A
1,,Did not work
2,,Worked
3,,Not Reported
,,
ABSENT,,Absent from work last week
0,,N/A
1,,No
2,,"Yes, laid off"
3,,"Yes, other reason (vacation, illness, labor dispute, etc.)"
4,,Not reported
,,
LOOKING,,Looking for work
0,,N/A
1,,"No, did not look for work"
2,,"Yes, looked for work"
3,,Not reported
,,
,,
AVAILBLE,,Available for work
0,,N/A
1,,"No, already has job"
2,,"No, temporarily ill"
3,,"No, other reason(s)"
4,,"Yes, available for work"
5,,Not reported
,,
WRKRECAL,,Informed of work recall
0,,N/A
1,,No
2,,Yes
3,,Not reported
,,
WORKEDYR,,Worked last year
0,,N/A
1,,No
2,,"No, but worked 1-5 years ago (ACS only)"
3,,Yes
,,
MIGRATE1,,"Migration status, 1 year [general version]"
0,,N/A
1,,Same house
2,,Moved within state
3,,Moved between states
4,,Abroad one year ago
9,,Unknown
,,
MIGRATE1D,,"Migration status, 1 year [detailed version]"
0,,N/A
10,,Same house
,,Different house:
20,,Same state (migration status within state unknown)
21,,"Different house, moved within county"
22,,"Different house, moved within state, between counties"
23,,"Different house, moved within state, within PUMA"
24,,"Different house, moved within state, between PUMAs"
25,,"Different house, unknown within state"
30,,Different state (general)
31,,Moved between contigious states
32,,Moved between non-contiguous states
40,,Abroad one year ago
90,,Unknown
,,
MIGPLAC1,,State or country of residence 1 year ago
0,,N/A
1,,Alabama
2,,Alaska
4,,Arizona
5,,Arkansas
6,,California
8,,Colorado
9,,Connecticut
10,,Delaware
11,,District of Columbia
12,,Florida
13,,Georgia
15,,Hawaii
16,,Idaho
17,,Illinois
18,,Indiana
19,,Iowa
20,,Kansas
21,,Kentucky
22,,Louisiana
23,,Maine
24,,Maryland
25,,Massachusetts
26,,Michigan
27,,Minnesota
28,,Mississippi
29,,Missouri
30,,Montana
31,,Nebraska
32,,Nevada
33,,New Hampshire
34,,New Jersey
35,,New Mexico
36,,New York
37,,North Carolina
38,,North Dakota
39,,Ohio
40,,Oklahoma
41,,Oregon
42,,Pennsylvania
44,,Rhode Island
45,,South Carolina
46,,South Dakota
47,,Tennessee
48,,Texas
49,,Utah
50,,Vermont
51,,Virginia
53,,Washington
54,,West Virginia
55,,Wisconsin
56,,Wyoming
99,,"United States, ns"
100,,"Samoa, 1950"
105,,Guam
110,,Puerto Rico
115,,Virgin Islands
120,,Other US Possessions
150,,Canada
151,,English Canada
152,,French Canada
160,,Atlantic Islands
200,,Mexico
211,,Belize/British Honduras
212,,Costa Rica
213,,El Salvador
214,,Guatemala
215,,Honduras
216,,Nicaragua
217,,Panama
218,,Canal Zone
219,,"Central America, nec"
250,,Cuba
261,,Dominican Republic
262,,Haiti
263,,Jamaica
264,,British West Indies
267,,Other West Indies
290,,Other Caribbean and North America
305,,Argentina
310,,Bolivia
315,,Brazil
320,,Chile
325,,Colombia
330,,Ecuador
345,,Paraguay
350,,Peru
360,,Uruguay
365,,Venezuela
390,,"South America, nec"
400,,Denmark
401,,Finland
402,,Iceland
404,,Norway
405,,Sweden
410,,England
411,,Scotland
412,,Wales
413,,United Kingdom (excluding England: 2005ACS)
414,,Ireland
415,,Northern Ireland
419,,Other Northern Europe
420,,Belgium
421,,France
422,,Luxembourg
425,,Netherlands
426,,Switzerland
429,,Other Western Europe
430,,Albania
433,,Greece
434,,Dodecanese Islands
435,,Italy
436,,Portugal
437,,Azores
438,,Spain
450,,Austria
451,,Bulgaria
452,,Czechoslovakia
453,,Germany
454,,Hungary
455,,Poland
456,,Romania
457,,Yugoslavia
458,,Bosnia and Herzegovinia
459,,Other Eastern Europe
460,,Estonia
461,,Latvia
462,,Lithuania
463,,Other Northern or Eastern Europe
465,,USSR
498,,Ukraine
499,,"Europe, ns"
500,,China
501,,Japan
502,,Korea
503,,Taiwan
515,,Philippines
517,,Thailand
518,,Vietnam
519,,Other South East Asia
520,,Nepal
521,,India
522,,Iran
523,,Iraq
525,,Pakistan
534,,Israel/Palestine
535,,Jordan
537,,Lebanon
539,,United Arab Emirates
540,,Saudi Arabia
541,,Syria
542,,Turkey
543,,Afghanistan
551,,Other Western Asia
599,,"Asia, nec"
600,,Africa
610,,Northern Africa
611,,Egypt
619,,Nigeria
620,,Western Africa
621,,Eastern Africa
622,,Ethiopia
623,,Kenya
694,,South Africa (Union of)
699,,"Africa, nec"
701,,Australia
702,,New Zealand
710,,"Pacific Islands (Australia and New Zealand Subregions, not specified, Oceania and at Sea: ACS)"
900,,Abroad (unknown) or at sea
997,,Unknown value
999,,Missing
,,
MIGMET131,,Metropolitan area of residence 1 year ago (2013 delineations)
0,,Not in identifiable area
10420,,"Akron, OH"
10580,,"Albany-Schenectady-Troy, NY"
10740,,"Albuquerque, NM"
10780,,"Alexandria, LA"
10900,,"Allentown-Bethlehem-Easton, PA-NJ"
11020,,"Altoona, PA"
11100,,"Amarillo, TX"
11260,,"Anchorage, AK"
11460,,"Ann Arbor, MI"
11500,,"Anniston-Oxford-Jacksonville, AL"
11700,,"Asheville, NC"
12020,,"Athens-Clarke County, GA"
12060,,"Atlanta-Sandy Springs-Roswell, GA"
12100,,"Atlantic City-Hammonton, NJ"
12220,,"Auburn-Opelika, AL"
12260,,"Augusta-Richmond County, GA-SC"
12420,,"Austin-Round Rock, TX"
12540,,"Bakersfield, CA"
12580,,"Baltimore-Columbia-Towson, MD"
12620,,"Bangor, ME"
12700,,"Barnstable Town, MA"
12940,,"Baton Rouge, LA"
12980,,"Battle Creek, MI"
13140,,"Beaumont-Port Arthur, TX"
13380,,"Bellingham, WA"
13460,,"Bend-Redmond, OR"
13740,,"Billings, MT"
13780,,"Binghamton, NY"
13820,,"Birmingham-Hoover, AL"
13900,,"Bismarck, ND"
13980,,"Blacksburg-Christiansburg-Radford, VA"
14010,,"Bloomington, IL"
14020,,"Bloomington, IN"
14260,,"Boise City, ID"
14460,,"Boston-Cambridge-Newton, MA-NH"
14740,,"Bremerton-Silverdale, WA"
14860,,"Bridgeport-Stamford-Norwalk, CT"
15180,,"Brownsville-Harlingen, TX"
15380,,"Buffalo-Cheektowaga-Niagara Falls, NY"
15500,,"Burlington, NC"
15540,,"Burlington-South Burlington, VT"
15940,,"Canton-Massillon, OH"
15980,,"Cape Coral-Fort Myers, FL"
16580,,"Champaign-Urbana, IL"
16620,,"Charleston, WV"
16700,,"Charleston-North Charleston, SC"
16740,,"Charlotte-Concord-Gastonia, NC-SC"
16820,,"Charlottesville, VA"
16860,,"Chattanooga, TN-GA"
16980,,"Chicago-Naperville-Elgin, IL-IN-WI"
17020,,"Chico, CA"
17140,,"Cincinnati, OH-KY-IN"
17300,,"Clarksville, TN-KY"
17460,,"Cleveland-Elyria, OH"
17660,,"Coeur d'Alene, ID"
17780,,"College Station-Bryan, TX"
17820,,"Colorado Springs, CO"
17860,,"Columbia, MO"
17900,,"Columbia, SC"
18140,,"Columbus, OH"
18580,,"Corpus Christi, TX"
19100,,"Dallas-Fort Worth-Arlington, TX"
19300,,"Daphne-Fairhope-Foley, AL"
19340,,"Davenport-Moline-Rock Island, IA-IL"
19380,,"Dayton, OH"
19460,,"Decatur, AL"
19500,,"Decatur, IL"
19660,,"Deltona-Daytona Beach-Ormond Beach, FL"
19740,,"Denver-Aurora-Lakewood, CO"
19780,,"Des Moines-West Des Moines, IA"
19820,,"Detroit-Warren-Dearborn, MI"
20100,,"Dover, DE"
20500,,"Durham-Chapel Hill, NC"
20700,,"East Stroudsburg, PA"
20740,,"Eau Claire, WI"
20940,,"El Centro, CA"
21060,,"Elizabethtown-Fort Knox, KY"
21140,,"Elkhart-Goshen, IN"
21340,,"El Paso, TX"
21500,,"Erie, PA"
21660,,"Eugene, OR"
21780,,"Evansville, IN-KY"
22140,,"Farmington, NM"
22180,,"Fayetteville, NC"
22220,,"Fayetteville-Springdale-Rogers, AR-MO"
22380,,"Flagstaff, AZ"
22420,,"Flint, MI"
22500,,"Florence, SC"
22520,,"Florence-Muscle Shoals, AL"
22660,,"Fort Collins, CO"
23060,,"Fort Wayne, IN"
23420,,"Fresno, CA"
23460,,"Gadsden, AL"
23540,,"Gainesville, FL"
23580,,"Gainesville, GA"
24020,,"Glens Falls, NY"
24140,,"Goldsboro, NC"
24300,,"Grand Junction, CO"
24340,,"Grand Rapids-Wyoming, MI"
24540,,"Greeley, CO"
24660,,"Greensboro-High Point, NC"
24780,,"Greenville, NC"
24860,,"Greenville-Anderson-Mauldin, SC"
25060,,"Gulfport-Biloxi-Pascagoula, MS"
25220,,"Hammond, LA"
25260,,"Hanford-Corcoran, CA"
25420,,"Harrisburg-Carlisle, PA"
25500,,"Harrisonburg, VA"
25540,,"Hartford-West Hartford-East Hartford, CT"
25620,,"Hattiesburg, MS"
25860,,"Hickory-Lenoir-Morganton, NC"
25940,,"Hilton Head Island-Bluffton-Beaufort, SC"
26140,,"Homosassa Springs, FL"
26380,,"Houma-Thibodaux, LA"
26420,,"Houston-The Woodlands-Sugar Land, TX"
26620,,"Huntsville, AL"
26900,,"Indianapolis-Carmel-Anderson, IN"
26980,,"Iowa City, IA"
27060,,"Ithaca, NY"
27100,,"Jackson, MI"
27140,,"Jackson, MS"
27180,,"Jackson, TN"
27260,,"Jacksonville, FL"
27340,,"Jacksonville, NC"
27500,,"Janesville-Beloit, WI"
27620,,"Jefferson City, MO"
27780,,"Johnstown, PA"
27900,,"Joplin, MO"
28020,,"Kalamazoo-Portage, MI"
28100,,"Kankakee, IL"
28140,,"Kansas City, MO-KS"
28420,,"Kennewick-Richland, WA"
28660,,"Killeen-Temple, TX"
28700,,"Kingsport-Bristol-Bristol, TN-VA"
28940,,"Knoxville, TN"
29100,,"La Crosse-Onalaska, WI-MN"
29180,,"Lafayette, LA"
29200,,"Lafayette-West Lafayette, IN"
29340,,"Lake Charles, LA"
29420,,"Lake Havasu City-Kingman, AZ"
29460,,"Lakeland-Winter Haven, FL"
29540,,"Lancaster, PA"
29620,,"Lansing-East Lansing, MI"
29700,,"Laredo, TX"
29740,,"Las Cruces, NM"
29820,,"Las Vegas-Henderson-Paradise, NV"
29940,,"Lawrence, KS"
30140,,"Lebanon, PA"
30340,,"Lewiston-Auburn, ME"
30620,,"Lima, OH"
30700,,"Lincoln, NE"
30780,,"Little Rock-North Little Rock-Conway, AR"
31080,,"Los Angeles-Long Beach-Anaheim, CA"
31140,,"Louisville/Jefferson County, KY-IN"
31180,,"Lubbock, TX"
31340,,"Lynchburg, VA"
31460,,"Madera, CA"
31700,,"Manchester-Nashua, NH"
31900,,"Mansfield, OH"
32420,,"Mayagüez, PR"
32580,,"McAllen-Edinburg-Mission, TX"
32780,,"Medford, OR"
32820,,"Memphis, TN-MS-AR"
32900,,"Merced, CA"
33100,,"Miami-Fort Lauderdale-West Palm Beach, FL"
33140,,"Michigan City-La Porte, IN"
33260,,"Midland, TX"
33340,,"Milwaukee-Waukesha-West Allis, WI"
33460,,"Minneapolis-St. Paul-Bloomington, MN-WI"
33660,,"Mobile, AL"
33700,,"Modesto, CA"
33740,,"Monroe, LA"
33780,,"Monroe, MI"
33860,,"Montgomery, AL"
34060,,"Morgantown, WV"
34620,,"Muncie, IN"
34740,,"Muskegon, MI"
34820,,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
34900,,"Napa, CA"
34940,,"Naples-Immokalee-Marco Island, FL"
34980,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
35300,,"New Haven-Milford, CT"
35380,,"New Orleans-Metairie, LA"
35620,,"New York-Newark-Jersey City, NY-NJ-PA"
35660,,"Niles-Benton Harbor, MI"
35840,,"North Port-Sarasota-Bradenton, FL"
35980,,"Norwich-New London, CT"
36100,,"Ocala, FL"
36140,,"Ocean City, NJ"
36220,,"Odessa, TX"
36260,,"Ogden-Clearfield, UT"
36420,,"Oklahoma City, OK"
36500,,"Olympia-Tumwater, WA"
36540,,"Omaha-Council Bluffs, NE-IA"
36740,,"Orlando-Kissimmee-Sanford, FL"
36780,,"Oshkosh-Neenah, WI"
36980,,"Owensboro, KY"
37100,,"Oxnard-Thousand Oaks-Ventura, CA"
37340,,"Palm Bay-Melbourne-Titusville, FL"
37460,,"Panama City, FL"
37620,,"Parkersburg-Vienna, WV"
37860,,"Pensacola-Ferry Pass-Brent, FL"
37900,,"Peoria, IL"
37980,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
38060,,"Phoenix-Mesa-Scottsdale, AZ"
38300,,"Pittsburgh, PA"
38340,,"Pittsfield, MA"
38660,,"Ponce, PR"
38860,,"Portland-South Portland, ME"
38900,,"Portland-Vancouver-Hillsboro, OR-WA"
38940,,"Port St. Lucie, FL"
39140,,"Prescott, AZ"
39300,,"Providence-Warwick, RI-MA"
39340,,"Provo-Orem, UT"
39380,,"Pueblo, CO"
39460,,"Punta Gorda, FL"
39540,,"Racine, WI"
39580,,"Raleigh, NC"
39740,,"Reading, PA"
39820,,"Redding, CA"
39900,,"Reno, NV"
40060,,"Richmond, VA"
40140,,"Riverside-San Bernardino-Ontario, CA"
40220,,"Roanoke, VA"
40380,,"Rochester, NY"
40420,,"Rockford, IL"
40580,,"Rocky Mount, NC"
40900,,"Sacramento--Roseville--Arden-Arcade, CA"
40980,,"Saginaw, MI"
41060,,"St. Cloud, MN"
41100,,"St. George, UT"
41140,,"St. Joseph, MO-KS"
41180,,"St. Louis, MO-IL"
41500,,"Salinas, CA"
41540,,"Salisbury, MD-DE"
41620,,"Salt Lake City, UT"
41660,,"San Angelo, TX"
41700,,"San Antonio-New Braunfels, TX"
41740,,"San Diego-Carlsbad, CA"
41860,,"San Francisco-Oakland-Hayward, CA"
41900,,"San Germán, PR"
41940,,"San Jose-Sunnyvale-Santa Clara, CA"
41980,,"San Juan-Carolina-Caguas, PR"
42020,,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
42100,,"Santa Cruz-Watsonville, CA"
42140,,"Santa Fe, NM"
42200,,"Santa Maria-Santa Barbara, CA"
42220,,"Santa Rosa, CA"
42540,,"Scranton--Wilkes-Barre--Hazleton, PA"
42660,,"Seattle-Tacoma-Bellevue, WA"
42680,,"Sebastian-Vero Beach, FL"
43100,,"Sheboygan, WI"
43340,,"Shreveport-Bossier City, LA"
43900,,"Spartanburg, SC"
44060,,"Spokane-Spokane Valley, WA"
44100,,"Springfield, IL"
44140,,"Springfield, MA"
44180,,"Springfield, MO"
44220,,"Springfield, OH"
44300,,"State College, PA"
44700,,"Stockton-Lodi, CA"
44940,,"Sumter, SC"
45060,,"Syracuse, NY"
45220,,"Tallahassee, FL"
45300,,"Tampa-St. Petersburg-Clearwater, FL"
45460,,"Terre Haute, IN"
45780,,"Toledo, OH"
45820,,"Topeka, KS"
45940,,"Trenton, NJ"
46060,,"Tucson, AZ"
46220,,"Tuscaloosa, AL"
46340,,"Tyler, TX"
46520,,"Urban Honolulu, HI"
46540,,"Utica-Rome, NY"
46660,,"Valdosta, GA"
46700,,"Vallejo-Fairfield, CA"
47220,,"Vineland-Bridgeton, NJ"
47260,,"Virginia Beach-Norfolk-Newport News, VA-NC"
47300,,"Visalia-Porterville, CA"
47380,,"Waco, TX"
47900,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
48140,,"Wausau, WI"
48300,,"Wenatchee, WA"
48620,,"Wichita, KS"
48660,,"Wichita Falls, TX"
48700,,"Williamsport, PA"
48900,,"Wilmington, NC"
49180,,"Winston-Salem, NC"
49340,,"Worcester, MA-CT"
49420,,"Yakima, WA"
49620,,"York-Hanover, PA"
49660,,"Youngstown-Warren-Boardman, OH-PA"
49700,,"Yuba City, CA"
49740,,"Yuma, AZ"
,,
MIGMET13ERR,,Coverage error in MIGMET13 variables
0,,Not applicable (no metro area identified)
,,Omission + commission error:
1,,Less than 0.1%
2,,0.1 to 0.9%
3,,1.0 to 1.9%
4,,2.0 to 4.9%
5,,5.0 to 9.9%
6,,10.0 to 14.9%
,,
MIGTYPE1,,Metropolitan status 1 year ago
0,,N/A
1,,Not in metropolitan area
,,In metropolitan area:
2,,In metropolitan area: Central/principal city status indeterminable (mixed)
3,,In metropolitan area: In central/principal city
4,,In metropolitan area: Not in central/principal city
5,,Abroad
9,,Metropolitan status indeterminable (mixed)
,,
PWSTATE2,,Place of work: state
0,,N/A
1,,Alabama
2,,Alaska
4,,Arizona
5,,Arkansas
6,,California
8,,Colorado
9,,Connecticut
10,,Delaware
11,,District of Columbia
12,,Florida
13,,Georgia
15,,Hawaii
16,,Idaho
17,,Illinois
18,,Indiana
19,,Iowa
20,,Kansas
21,,Kentucky
22,,Louisiana
23,,Maine
24,,Maryland
25,,Massachusetts
26,,Michigan
27,,Minnesota
28,,Mississippi
29,,Missouri
30,,Montana
31,,Nebraska
32,,Nevada
33,,New Hampshire
34,,New Jersey
35,,New Mexico
36,,New York
37,,North Carolina
38,,North Dakota
39,,Ohio
40,,Oklahoma
41,,Oregon
42,,Pennsylvania
44,,Rhode Island
45,,South Carolina
46,,South Dakota
47,,Tennessee
48,,Texas
49,,Utah
50,,Vermont
51,,Virginia
53,,Washington
54,,West Virginia
55,,Wisconsin
56,,Wyoming
,,State group codes (UR samples)
61,,Maine-New Hamp-Vermont
62,,Massachusetts-Rhode Island
63,,Minn-Iowa-Missouri-Kansas-S Dakota-N Dakota
64,,Mayrland-Delaware
65,,Montana-Idaho-Wyoming
66,,Utah-Nevada
67,,Arizona-New Mexico
68,,Alaska-Hawaii
72,,Puerto Rico
73,,U.S. outlying area
74,,United States (1980 Puerto Rico samples)
80,,Abroad
81,,Europe
82,,Eastern Asia
83,,"South Central, South East, and Western Asia"
84,,Mexico
85,,Other Americas
86,,"Other, nec"
87,,Iraq
88,,Canada
90,,Confidential
99,,Not reported
,,
PWMET13,,Place of work: metropolitan area (2013 delineations)
0,,Not in identifiable area
10420,,"Akron, OH"
10580,,"Albany-Schenectady-Troy, NY"
10740,,"Albuquerque, NM"
10780,,"Alexandria, LA"
10900,,"Allentown-Bethlehem-Easton, PA-NJ"
11020,,"Altoona, PA"
11100,,"Amarillo, TX"
11260,,"Anchorage, AK"
11460,,"Ann Arbor, MI"
11500,,"Anniston-Oxford-Jacksonville, AL"
11700,,"Asheville, NC"
12020,,"Athens-Clarke County, GA"
12060,,"Atlanta-Sandy Springs-Roswell, GA"
12100,,"Atlantic City-Hammonton, NJ"
12220,,"Auburn-Opelika, AL"
12260,,"Augusta-Richmond County, GA-SC"
12420,,"Austin-Round Rock, TX"
12540,,"Bakersfield, CA"
12580,,"Baltimore-Columbia-Towson, MD"
12620,,"Bangor, ME"
12700,,"Barnstable Town, MA"
12940,,"Baton Rouge, LA"
12980,,"Battle Creek, MI"
13140,,"Beaumont-Port Arthur, TX"
13380,,"Bellingham, WA"
13460,,"Bend-Redmond, OR"
13740,,"Billings, MT"
13780,,"Binghamton, NY"
13820,,"Birmingham-Hoover, AL"
13900,,"Bismarck, ND"
13980,,"Blacksburg-Christiansburg-Radford, VA"
14010,,"Bloomington, IL"
14020,,"Bloomington, IN"
14260,,"Boise City, ID"
14460,,"Boston-Cambridge-Newton, MA-NH"
14740,,"Bremerton-Silverdale, WA"
14860,,"Bridgeport-Stamford-Norwalk, CT"
15180,,"Brownsville-Harlingen, TX"
15380,,"Buffalo-Cheektowaga-Niagara Falls, NY"
15500,,"Burlington, NC"
15540,,"Burlington-South Burlington, VT"
15940,,"Canton-Massillon, OH"
15980,,"Cape Coral-Fort Myers, FL"
16580,,"Champaign-Urbana, IL"
16620,,"Charleston, WV"
16700,,"Charleston-North Charleston, SC"
16740,,"Charlotte-Concord-Gastonia, NC-SC"
16820,,"Charlottesville, VA"
16860,,"Chattanooga, TN-GA"
16980,,"Chicago-Naperville-Elgin, IL-IN-WI"
17020,,"Chico, CA"
17140,,"Cincinnati, OH-KY-IN"
17300,,"Clarksville, TN-KY"
17460,,"Cleveland-Elyria, OH"
17660,,"Coeur d'Alene, ID"
17780,,"College Station-Bryan, TX"
17820,,"Colorado Springs, CO"
17860,,"Columbia, MO"
17900,,"Columbia, SC"
18140,,"Columbus, OH"
18580,,"Corpus Christi, TX"
19100,,"Dallas-Fort Worth-Arlington, TX"
19300,,"Daphne-Fairhope-Foley, AL"
19340,,"Davenport-Moline-Rock Island, IA-IL"
19380,,"Dayton, OH"
19460,,"Decatur, AL"
19500,,"Decatur, IL"
19660,,"Deltona-Daytona Beach-Ormond Beach, FL"
19740,,"Denver-Aurora-Lakewood, CO"
19780,,"Des Moines-West Des Moines, IA"
19820,,"Detroit-Warren-Dearborn, MI"
20100,,"Dover, DE"
20500,,"Durham-Chapel Hill, NC"
20700,,"East Stroudsburg, PA"
20740,,"Eau Claire, WI"
20940,,"El Centro, CA"
21060,,"Elizabethtown-Fort Knox, KY"
21140,,"Elkhart-Goshen, IN"
21340,,"El Paso, TX"
21500,,"Erie, PA"
21660,,"Eugene, OR"
21780,,"Evansville, IN-KY"
22140,,"Farmington, NM"
22180,,"Fayetteville, NC"
22220,,"Fayetteville-Springdale-Rogers, AR-MO"
22380,,"Flagstaff, AZ"
22420,,"Flint, MI"
22500,,"Florence, SC"
22520,,"Florence-Muscle Shoals, AL"
22660,,"Fort Collins, CO"
23060,,"Fort Wayne, IN"
23420,,"Fresno, CA"
23460,,"Gadsden, AL"
23540,,"Gainesville, FL"
23580,,"Gainesville, GA"
24020,,"Glens Falls, NY"
24140,,"Goldsboro, NC"
24300,,"Grand Junction, CO"
24340,,"Grand Rapids-Wyoming, MI"
24540,,"Greeley, CO"
24660,,"Greensboro-High Point, NC"
24780,,"Greenville, NC"
24860,,"Greenville-Anderson-Mauldin, SC"
25060,,"Gulfport-Biloxi-Pascagoula, MS"
25220,,"Hammond, LA"
25260,,"Hanford-Corcoran, CA"
